amfi_code,scheme_name,fund_house,category,return_3yr_cagr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,composite_score,rank
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.14748035533586012,0.9262873467360146,0.20873010086942337,1.52,-0.1527259422823477,53.4375,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.1842199653744454,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267,51.125,21
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.07394286300360076,0.4957233929533124,0.06746210411099539,0.74,-0.0009773140045925555,48.0,22
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.20816771175535864,0.12961449795669325,0.08232801295222093,0.75,-0.21751396370148224,47.625,23
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.25556187904126526,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225,46.1875,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.18044206486636138,0.4640374492204777,0.13173190226099432,1.54,-0.14844576917771746,43.6875,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.11245222866621418,0.3006119210425478,0.11989100971217971,0.78,-0.21117279560132118,42.125,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.06695971624586994,-0.08874729621557331,0.06455677495375998,0.6,-0.0011629327956168556,41.125,27
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.1726727508371786,0.49427253786723496,0.13042924450705445,1.59,-0.1757361416468729,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.08007927728656083,0.4484340089089914,0.1750072167561127,1.53,-0.2334488614483311,38.3125,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.040622050237771434,-0.356629507514368,0.05074772999976104,0.55,-0.08316361763638702,34.625,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.05840358798463097,-0.22657538662791596,0.05620895216638369,0.77,-0.04328728923970093,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.06315784491375509,-0.8155673679088278,0.060861457957871144,0.79,-0.0016224980244717857,32.875,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.039163899571040384,-0.5670947928476847,0.042817920315060876,0.56,-0.04308263824636349,31.875,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.07756003551327284,0.07599984804658917,0.0780443887615508,1.56,-0.24003511326274884,27.625,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-0.01337386614488112,-0.05718662582817997,0.048824215945539845,0.72,-0.5257422117012851,23.9375,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.005258871209757432,0.030784850954585913,0.0689952982167755,1.64,-0.1440161790933726,22.5625,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-0.04152381044854481,0.1626607692864677,0.10897091901704538,1.53,-0.3544691649336603,22.0625,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-0.11705806723995271,-0.07597357117478923,0.048015953637759554,1.38,-0.5167775370852656,17.25,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.01292649342495622,-0.2015170675596694,0.03747580763443281,1.55,-0.24734440880673303,14.375,39
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-0.007674063178547241,-0.20583160785470314,0.028969397866379445,1.51,-0.2800112356639287,14.3125,40
